timestamp,high,low,open,volumefrom,volume,close,conversionType,conversionSymbol
2017-08-12 00:00:00+00:00,319.14,303.71,309.32,634507.5,198463746.02,308.02,direct,
2017-08-13 00:00:00+00:00,308.87,288.04,308.02,709286.89,209757139.86,296.62,direct,
2017-08-14 00:00:00+00:00,306.3,294.74,296.62,461968.26,138516552.98,299.16,direct,
2017-08-15 00:00:00+00:00,299.71,271.38,299.16,735205.53,209502360.98,286.52,direct,
2017-08-16 00:00:00+00:00,303.29,280.66,286.52,487956.1,143590085.64,301.38,direct,
2017-08-17 00:00:00+00:00,310.43,298.19,301.38,466305.76,141776697.36,300.3,direct,
2017-08-18 00:00:00+00:00,306.52,287.17,300.3,523133.9,155333057.71,292.62,direct,
2017-08-19 00:00:00+00:00,298.79,283.65,292.62,458296.55,133331931.88,293.02,direct,
2017-08-20 00:00:00+00:00,298.78,288.48,293.02,293661.68,86214711.32,298.2,direct,
2017-08-21 00:00:00+00:00,345.44,294.93,298.2,1147950.71,371320147.37,321.85,direct,
2017-08-22 00:00:00+00:00,329.39,293.09,321.85,823697.62,255666010.62,313.37,direct,
2017-08-23 00:00:00+00:00,325.1,313.16,313.37,428625.31,136793702.05,317.4,direct,
2017-08-24 00:00:00+00:00,328.65,315.94,317.4,352256.9,113467892.46,325.28,direct,
2017-08-25 00:00:00+00:00,337.24,324.69,325.28,428182.32,142040413.42,330.06,direct,
2017-08-26 00:00:00+00:00,334.7,325.9,330.06,214806.33,70828266.3,332.86,direct,
2017-08-27 00:00:00+00:00,347.92,332.8,332.86,336374.92,113661914.42,347.88,direct,
2017-08-28 00:00:00+00:00,350.5,335.41,347.88,452449.22,155518324.93,347.66,direct,
2017-08-29 00:00:00+00:00,375.18,347.24,347.66,674865.15,245077133.04,372.35,direct,
2017-08-30 00:00:00+00:00,390.64,367.41,372.35,651250.58,247280361.72,383.86,direct,
2017-08-31 00:00:00+00:00,389.64,380.89,383.86,335126.62,129260777.23,388.33,direct,
2017-09-01 00:00:00+00:00,395.3,386.71,388.33,491601.26,192664622.13,391.42,direct,
2017-09-02 00:00:00+00:00,392.04,328.87,391.42,1101764.65,392672123.64,351.03,direct,
2017-09-03 00:00:00+00:00,370.5,336.37,351.03,627030.97,220213614.9,352.45,direct,
2017-09-04 00:00:00+00:00,352.45,279.95,352.45,1691892.31,518097340.34,303.7,direct,
2017-09-05 00:00:00+00:00,324.37,275.97,303.7,947781.26,285969365.42,317.94,direct,
2017-09-06 00:00:00+00:00,341.77,317.82,317.94,624432.7,207751167.29,338.92,direct,
2017-09-07 00:00:00+00:00,338.92,323.36,338.92,439263.99,145609934.39,335.37,direct,
2017-09-08 00:00:00+00:00,335.39,293.12,335.37,997877.33,307973324.88,306.72,direct,
2017-09-09 00:00:00+00:00,309.07,293.71,306.72,423738.08,127930167.28,303.79,direct,
